Unique Order Identifier,Order Complexity,Supplier,Unique Product Identifier,Planned Year,Planned Month,Planned Quarter,Planned Day,Planned Weekday,Delivery Delay,Delivery Status,Ordered Quantity,Arrival Year,Arrival Month,Arrival Quarter,Arrival Day,Arrival Weekday,Delivered Quantity,Delivery_Delay_Days,Status,Quantity Difference,Quantity Status
6260783-1,1,93118673,23101030601,2023,5,2,1,0,22,too late,14.0,2023,5,2,23,1,14.0,22,late,0.0,exact
6260784-1,1,41446825,23100770000,2023,9,3,4,0,0,on time,50.0,2023,9,3,4,0,50.0,0,on_time,0.0,exact
6260785-1,1,22740983,23101070000,2023,8,3,21,0,3,too late,30.0,2023,8,3,24,3,30.0,3,late,0.0,exact
6260786-1,4,22740983,23101081101,2023,11,4,6,0,-3,too early,100.0,2023,11,4,3,4,100.0,-3,early,0.0,exact
6260786-2,4,22740983,23101080001,2023,11,4,6,0,-3,too early,100.0,2023,11,4,3,4,100.0,-3,early,0.0,exact
6260786-3,4,22740983,23101081101,2023,5,2,22,0,0,on time,40.0,2023,5,2,22,0,40.0,0,on_time,0.0,exact
6260786-4,4,22740983,23101080001,2023,4,2,24,0,15,too late,40.0,2023,5,2,9,1,40.0,15,late,0.0,exact
6260787-1,1,23635582,29000190000,2023,1,1,9,0,3,too late,10000.0,2023,1,1,12,3,20000.0,3,late,10000.0,over delivered
6260788-1,2,10488377,22900710605,2023,12,4,4,0,-3,too early,1500.0,2023,12,4,1,4,1000.0,-3,early,-500.0,under delivered
6260788-2,2,10488377,22900710605,2024,1,1,1,0,17,too late,1500.0,2024,1,1,18,3,1500.0,17,late,0.0,exact
6260789-1,2,62561667,23500120400,2023,11,4,27,0,-6,too early,525.0,2023,11,4,21,1,525.0,-6,early,0.0,exact
6260789-2,2,62561667,23500120500,2023,11,4,27,0,-6,too early,210.0,2023,11,4,21,1,210.0,-6,early,0.0,exact
6260790-1,1,89978826,9999,2023,1,1,9,0,1,too late,1.0,2023,1,1,10,1,1.0,1,late,0.0,exact
6260791-1,4,28567621,28000010501,2023,4,2,17,0,0,on time,30.0,2023,4,2,17,0,30.0,0,on_time,0.0,exact
6260791-2,4,28567621,28000015500,2023,4,2,17,0,0,on time,30.0,2023,4,2,17,0,30.0,0,on_time,0.0,exact
6260791-3,4,28567621,28000010501,2023,6,2,26,0,-3,too early,30.0,2023,6,2,23,4,30.0,-3,early,0.0,exact
